DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,MazeSolved
3756,559,1765,726,884,5881,2002,randomGenerateMaze324
222,4109,4709,1317,1149,451,351,randomGenerateMaze325
1,1,1,1,1,1,1,randomGenerateMaze326
4482,3480,201,1654,1129,4882,5039,randomGenerateMaze327
1846,2751,2937,3870,3907,1579,3565,randomGenerateMaze328
3324,3330,2028,1509,1989,2549,4362,randomGenerateMaze329
5,5,5,5,5,5,5,randomGenerateMaze330
2963,2755,2013,5163,4699,4742,2890,randomGenerateMaze331
3873,517,2305,5162,5537,2218,6243,randomGenerateMaze332
5404,6612,6056,2776,2801,5531,2986,randomGenerateMaze333
1249,3936,5270,2314,6441,195,662,randomGenerateMaze334
547,1806,5203,4076,3983,1645,5594,randomGenerateMaze335
843,3516,5080,1283,2038,6586,400,randomGenerateMaze336
5416,318,2616,5414,4329,4424,6518,randomGenerateMaze337
1,1,1,1,1,1,1,randomGenerateMaze338
6559,6559,6559,6559,6559,6559,6559,randomGenerateMaze339
4060,4385,2120,1669,1525,2903,1231,randomGenerateMaze340
5585,6284,5135,5071,5601,5083,4986,randomGenerateMaze341
178,2566,4114,3238,3157,442,1681,randomGenerateMaze342
6396,5023,247,1346,2026,172,2417,randomGenerateMaze343
1168,2268,5173,6230,5680,1412,3865,randomGenerateMaze344
3669,3920,909,6568,6531,3215,883,randomGenerateMaze345
5033,5883,581,2074,1749,4221,724,randomGenerateMaze346
1241,6526,4505,5207,5112,5005,5122,randomGenerateMaze347
2307,4683,6191,1142,1207,5810,5967,randomGenerateMaze348
2050,3946,3128,1488,3435,351,4566,randomGenerateMaze349
2260,6028,4285,3961,5323,1635,4749,randomGenerateMaze350
1602,3097,4499,5981,5909,4646,4819,randomGenerateMaze351
5209,702,3087,4270,4142,6188,6289,randomGenerateMaze352
1456,1071,4081,3834,3520,3404,2457,randomGenerateMaze353
5821,5980,5813,1774,6283,1995,3823,randomGenerateMaze354
733,6503,5748,1554,1960,3563,1938,randomGenerateMaze355
4947,1668,438,1985,3127,4180,6513,randomGenerateMaze356
2804,2801,1638,5702,4768,4598,6244,randomGenerateMaze357
3,3,3,3,3,3,3,randomGenerateMaze358
358,704,4444,4271,3282,3342,4321,randomGenerateMaze359
3166,5517,4604,637,6203,1587,5636,randomGenerateMaze360
640,4142,5461,3180,2394,648,887,randomGenerateMaze361
2268,4258,994,1763,1315,1435,4130,randomGenerateMaze362
5961,714,1761,5831,4937,4211,1223,randomGenerateMaze363
666,3980,5629,348,360,978,5599,randomGenerateMaze364
4536,5955,1768,307,122,2063,1229,randomGenerateMaze365
1,1,1,1,1,1,1,randomGenerateMaze366
5758,3114,3736,3286,2011,5552,4865,randomGenerateMaze367
4065,2524,4212,3562,2369,2433,4114,randomGenerateMaze368
6251,4290,3048,2626,2643,1365,6093,randomGenerateMaze369
4625,102,821,4966,3045,4412,2459,randomGenerateMaze370
5870,3859,6531,2652,3497,6453,198,randomGenerateMaze371
3099,2225,5623,2458,3285,5178,3314,randomGenerateMaze372
209,379,3742,4644,4448,3396,3800,randomGenerateMaze373
2075,2421,2732,187,5118,1742,1848,randomGenerateMaze374
4295,272,6326,4667,4835,4328,5381,randomGenerateMaze375
418,4020,4652,779,1497,568,5316,randomGenerateMaze376
5033,4346,5872,6043,4940,1075,5239,randomGenerateMaze377
4672,2755,796,2142,5416,3445,5441,randomGenerateMaze378
388,1981,1579,845,320,1776,226,randomGenerateMaze379
1409,4148,6076,722,2677,5554,1410,randomGenerateMaze380
2516,4593,2335,1135,1508,2391,1276,randomGenerateMaze381
630,1772,4888,5241,3667,1780,5981,randomGenerateMaze382
