peek() time (ns),add() Best Case time (ns),add() Worst Case time (ns),extractMax() Best Case time (ns),extractMax() Worst Case time (ns),Items (n), logn,nlogn
100,46950700,223364950,28411700,66399050,1194000,6.07700432679335,7255943.16619126
200,24841400,205218900,80029250,11391500,1195000,6.077367905284157,7262454.646814567
150,78761600,226252150,46814550,40223650,1196000,6.077731179652392,7268966.49086426
200,69593100,232316850,45172700,26481350,1197000,6.078094150406411,7275478.698036474
100,76306100,228397400,34507050,69439500,1198000,6.078456818053293,7281991.268027845
200,40721900,217475400,-39728500,6012550,1199000,6.078819183098848,7288504.200535519
100,69378150,224900100,27395350,-68648900,1200000,6.079181246047625,7295017.49525715
250,34265900,227218000,30233100,-65352850,1201000,6.079543007402906,7301531.15189089
400,35739300,222514250,20303150,-2827200,1202000,6.07990446766672,7308045.170135398
150,145882450,223187000,30804250,-42234850,1203000,6.080265627339845,7314559.549689833
100,25239100,259420250,11475300,-49635950,1204000,6.080626486921806,7321074.290253854
200,66919000,237331850,53793600,-57003050,1205000,6.080987046910887,7327589.391527619
250,52102900,218108850,29015450,63558850,1206000,6.0813473078041325,7334104.853211784
150,26925700,207287250,78835800,203650,1207000,6.08170727009735,7340620.675007501
100,45972900,218490800,38518600,53964600,1208000,6.082066934285113,7347136.856616416
200,68539950,234752700,691150,18475150,1209000,6.082426300860772,7353653.397740673
250,72764050,216518850,13243650,13760950,1210000,6.08278537031645,7360170.298082904
150,24657600,276386100,37880000,27681000,1211000,6.083144143143052,7366687.557346236
100,31582600,245107400,-22221050,9385250,1212000,6.083502619830267,7373205.175234284
200,69298000,223213700,50416600,-1923850,1213000,6.083860800866573,7379723.151451153
100,38553500,224473250,-11882650,-228100,1214000,6.084218686739239,7386241.485701436
150,26539000,285777900,32888750,-25986100,1215000,6.084576277934331,7392760.177690212
300,26375550,218806150,31323800,-2709150,1216000,6.084933574936716,7399279.227123047
250,41253200,377498450,67063900,-55150350,1217000,6.085290578230065,7405798.633705989
150,36162200,214649150,70864950,-54999750,1218000,6.085647288296856,7412318.397145571
0,43578850,239294600,24532650,-2622850,1219000,6.086003705618382,7418838.517148808
50,40088400,217945650,139593450,-52346100,1220000,6.086359830674748,7425358.993423193
150,24587400,258648350,36313750,-2734350,1221000,6.086715663944882,7431879.825676701
200,112360750,213472050,38413500,-2883950,1222000,6.087071205906535,7438401.013617786
100,24432500,203513000,17709850,-127536900,1223000,6.087426457036285,7444922.556955377
150,24512850,204049200,18222700,-102430900,1224000,6.087781417809542,7451444.45539888
100,24666000,206280850,-58402000,14738100,1225000,6.088136088700551,7457966.708658176
150,27719150,248441800,-41393050,13450250,1226000,6.088490470182396,7464489.316443617
200,73054450,211123000,39922600,-32132550,1227000,6.0888445627270045,7471012.278466035
50,35197050,255729600,22045750,7611250,1228000,6.089198366805149,7477535.594436723
100,43059200,220039550,64527050,-46125150,1229000,6.089551882886454,7484059.2640674515
150,43207000,215968250,93015450,4183100,1230000,6.089905111439398,7490583.28707046
100,47174200,229323950,24350650,-66234500,1231000,6.090258052931317,7497107.663158451
50,34802350,243723100,30186200,-75889400,1232000,6.090610707828406,7503632.392044596
200,43004600,233930800,24414600,-49203450,1233000,6.090963076595732,7510157.473442538
150,34716900,212904450,-50388950,-2775900,1234000,6.091315159697223,7516682.907066373
150,78638050,223054150,-16256250,-2688950,1235000,6.0916669575956846,7523208.69263067
100,24686700,204662650,69587400,16616150,1236000,6.092018470752797,7529734.829850458
