ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns)
861,1400710,1464980,37160
862,1409390,1452990,37960
863,1410400,1454290,39260
864,1412530,1432350,36710
865,1417460,1461750,37190
866,1393930,1444260,36020
867,1394410,1493620,39220
868,1765910,1813850,38900
869,1526760,1466250,36900
870,1533710,1517550,40850
871,1470390,1530700,38550
872,1465040,1521310,38360
873,1441020,1468470,36900
874,1432650,1462110,39160
875,1426400,1463720,36730
876,1424030,1727830,41830
877,1499240,1598180,37930
878,1448980,1483480,37610
879,1578480,1616740,41190
880,1566220,1615290,42540
881,1572410,1623460,42890
882,1441270,1497030,38460
883,1449210,1492500,39050
884,1451900,1521200,40080
885,1482160,1519470,40600
886,1486810,1512010,42470
887,1475640,1513530,38510
888,1467160,1510180,38780
889,1462830,1527640,39830
890,1487150,1521490,38950
891,1536950,1547660,53500
892,1481220,1521130,37900
893,1487490,1541930,38120
894,1485340,1531430,38780
895,1488090,1537810,38260
896,1497650,1539230,39550
897,1515290,1546990,38830
898,1495960,1550660,37980
899,1520430,1589450,40690
900,1513050,1562260,39400
901,1518300,1560210,39270
902,1534970,1566370,41880
903,1575180,1579760,39010
904,1524720,1582710,37670
905,1524940,1637790,40980
906,1901060,1643540,41710
907,1602900,1647080,39710
908,1650920,1726000,46450
909,1675420,1730240,45710
910,1685670,1665550,42720
911,1551670,1592710,40480
912,1545990,1722800,39570
913,1561760,1743520,41560
914,1661080,1683060,42530
915,1628610,1681110,44210
916,1641520,1681870,43610
917,1640730,1682520,42480
918,1635510,1676680,41940
919,1570870,1616200,41250
920,1613530,1617660,40110
921,1578860,1629370,39390
922,1578000,1626130,42450
923,1585210,1656080,40990
924,1617230,1636230,42740
925,1595420,1640770,41180
926,1636180,1657580,43760
927,1646040,1662140,40550
928,1611870,1664750,42580
929,1613470,1668530,41700
930,1612750,1674340,41760
931,1624840,1664000,48460
932,1623460,1661580,39770
933,1866950,1751590,41980
934,1770240,1693110,41470
935,1724370,1830600,44920
936,1793690,1828820,47380
937,1786140,1731170,41820
938,1638190,1694370,41280
939,1637290,1696740,41760
940,1656830,1737250,53260
941,1657630,1707520,41880
942,1667450,1699240,41830
943,1651040,1703210,41480
944,1652380,1708720,41010
945,1667910,1739730,77530
946,1682300,1715790,43170
947,1670360,1763590,41540
948,1687560,1766770,42470
949,1717250,1771220,44090
950,1715400,1828750,44510
951,1679010,1774010,44280
952,1683270,1746150,43200
953,1702560,1782320,42730
954,1710560,1757280,43010
955,1713530,1842820,42900
956,1752320,1793750,43500
957,1735000,1819600,44840
958,1739110,1754610,44450
959,2005650,1834690,42300
960,1751630,1823500,47940
961,1884590,1930870,48240
962,1873030,1938810,47030
963,1796890,1771670,45840
964,1736030,1774770,42880
965,1890310,1838860,45490
966,1829290,1871490,46310
967,1819550,1877230,44910
968,1763460,1801690,44690
969,1774700,1804550,42750
970,1763230,1805650,44940
971,1753690,1811800,44480
972,1754920,1822500,44930
973,1774100,1816580,44260
974,1783990,1845380,44280
975,1771680,1884600,44810
976,1770850,1857600,45220
977,1767920,1849590,45020
978,1823640,1846240,46140
979,1782950,1868920,62050
