ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns),n^2,logn,nlogn,SortedTree n^2,SortedTree logn,SortedTree nlogn,DescendingTree n^2,DescendingTree logn,DescendingTree nlogn,RandomTree n^2,RandomTree Logn,RandomTree nlogn
102,16300,23270,5200,10404,2.008600172,204.8772175,1.566705113,8115.104354,79.55984661,2.236639754,11585.18272,113.5802227,0.499807766,2588.867647,25.38105536
103,32130,36730,3410,10609,2.012837225,207.3222341,3.028560656,15962.54263,154.976142,3.462154774,18247.87397,177.163825,0.321425205,1694.126062,16.44782584
104,25220,18500,3690,10816,2.017033339,209.7714673,2.331730769,12503.51172,120.2260742,1.710428994,9171.886076,88.19121227,0.341161243,1829.419439,17.59057153
105,31540,42660,4760,11025,2.021189299,212.2248764,2.860770975,15604.67395,148.6159424,3.869387755,21106.38525,201.0131928,0.431746032,2355.04908,22.42903886
106,20410,21940,2460,11236,2.025305865,214.6824217,1.816482734,10077.4902,95.07066222,1.952652189,10832.93165,102.1974684,0.218939124,1214.631351,11.45878633
107,19280,24050,3710,11449,2.029383778,217.1440642,1.683989868,9500.420873,88.78898012,2.100620141,11850.88807,110.7559633,0.324045768,1828.141153,17.08543134
108,32250,41550,6610,11664,2.033423755,219.6097656,2.764917695,15859.95045,146.851393,3.562242798,20433.51755,189.1992366,0.56670096,3250.675115,30.09884366
109,32010,32020,1930,11881,2.037426498,222.0794883,2.694217658,15710.99622,144.13758,2.695059338,15715.90437,144.1826089,0.162444239,947.2734363,8.690581985
110,19150,20220,1970,12100,2.041392685,224.5531954,1.582644628,9380.8507,85.28046091,1.67107438,9905.002671,90.04547883,0.162809917,965.0274611,8.772976919
111,19550,20380,2130,12321,2.045322979,227.0308506,1.586721857,9558.392588,86.11164493,1.654086519,9964.196467,89.76753574,0.172875578,1041.400318,9.381984845
112,24210,23260,4130,12544,2.049218023,229.5124185,1.930006378,11814.26268,105.4844882,1.854272959,11350.6712,101.3452786,0.329241071,2015.402927,17.99466899
113,19860,20780,2000,12769,2.053078443,231.9978641,1.555329313,9673.278711,85.60423638,1.627378808,10121.38629,89.56979013,0.156629337,974.1468994,8.620769021
114,20350,21410,2060,12996,2.056904851,234.4871531,1.56586642,9893.505763,86.78513827,1.647429978,10408.84316,91.30564179,0.158510311,1001.50476,8.785129476
115,21100,21900,2240,13225,2.06069784,236.9802516,1.595463138,10239.24982,89.03695499,1.655954631,10627.46783,92.41276372,0.169376181,1087.010408,9.452264417
116,21130,22060,2050,13456,2.064457989,239.4771268,1.57030321,10235.13199,88.23389643,1.63941736,10685.61342,92.11735709,0.152348395,992.9967142,8.560316502
117,21550,22630,2080,13689,2.068185862,241.9777458,1.574256702,10419.75985,89.05777648,1.653152166,10941.95663,93.52099683,0.151946819,1005.712319,8.59583179
118,21710,23150,2010,13924,2.071882007,244.4820769,1.559178397,10478.39593,88.79996554,1.662596955,11173.41621,94.68996786,0.14435507,970.1324655,8.221461572
119,22420,23600,2170,14161,2.075546961,246.9900884,1.583221524,10801.97192,90.7728733,1.666548973,11370.49676,95.55039294,0.153237766,1045.507541,8.785777656
120,22990,24060,1990,14400,2.079181246,249.5017495,1.596527778,11057.23709,92.14364245,1.670833333,11571.86274,96.43218954,0.138194444,957.1075171,7.975895976
121,23430,24530,2200,14641,2.08278537,252.0170298,1.600300526,11249.35883,92.9699077,1.675432006,11777.49774,97.3346921,0.15026296,1056.277825,8.729568798
122,24010,24810,4870,14884,2.086359831,254.5358993,1.613141629,11508.08199,94.32854093,1.666890621,11891.52496,97.47151606,0.32719699,2334.209051,19.13286107
