Items in List (n),BadHashGetTime (ns),BHGet Collisions,MediumHashGetTime (ns),MHGet Collisions,GoodHashGetTime (ns),GHGet Collisions,BadHashPutTime (ns),BHPut Collisions,MediumHashPutTime (ns),MHPut Collisions,GoodHashPutTime (ns),GHPut Collisions
15600,21605850,100,969450,2149,1441850,100,15683700,0,2206700,0,2341850,0
15700,21923200,100,894700,2189,1493950,100,16752050,0,2480050,0,2569550,0
15800,22254100,100,889200,2229,1524600,100,16251800,0,2069550,0,2215600,0
15900,25034500,100,899350,2269,1586500,100,14426350,0,2668250,0,2447500,0
16000,22214800,100,911250,2309,1469250,100,16209850,0,2119050,0,2284000,0
16100,22897000,100,904450,2349,1535500,100,16204100,0,2781600,0,2210200,0
16200,22618200,100,899850,2389,1587950,100,16134200,0,4487350,0,2397150,0
16300,23689550,100,985000,2429,1563850,100,16730950,0,2170050,0,2275300,0
16400,23330350,100,934100,2469,1499000,100,16086800,0,2360950,0,2424550,0
16500,23741550,100,934250,2509,1575350,100,16911250,0,2143700,0,2263050,0
16600,24493200,100,1050600,2549,1589100,100,17240700,0,2337550,0,2347700,0
16700,24680000,100,913350,2589,1611000,100,17491800,0,2555300,0,2308800,0
16800,25013900,100,932750,2629,1657600,100,17582200,0,2277250,0,2297700,0
16900,25086950,100,940250,2669,1599350,100,17958900,0,2194450,0,2393400,0
17000,25579550,100,928150,2709,1601350,100,17341550,0,2203100,0,2302550,0
17100,25226600,100,955050,2749,1658800,100,17739850,0,3017300,0,2620100,0
17200,26053900,100,985700,2789,1636950,100,18097200,0,2264800,0,2356250,0
17300,26165050,100,1076550,2829,1646700,100,18248000,0,2626200,0,2481350,0
17400,26462550,100,992600,2869,1649950,100,18264850,0,2444650,0,2324250,0
17500,26701300,100,932050,2909,1680450,100,18159950,0,2269200,0,2373850,0
17600,27750400,100,1019300,2949,1698400,100,19605900,0,2295700,0,2433350,0
17700,27381300,100,1005350,2989,1654900,100,18719700,0,2393950,0,2319950,0
17800,27980250,100,1013950,3019,1700000,100,18680300,0,2342950,0,2415750,0
17900,28144050,100,950600,3039,1732500,100,19322450,0,2345500,0,2519850,0
18000,28869300,100,1031200,3059,1782350,100,19826650,0,2307300,0,2363350,0
